brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,total
APUESTAS ROYAL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BETANO,17243175.00,56689236.00,48600997.00,49004036.00,61941400.00,49858146.00,38844378.00,41964018.00,44717653.00,58870850.00,61266546.00,65407332.00,594407767.00
BETSSON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COOLBET,103766.00,0.00,0.00,0.00,0.00,1148160.00,0.00,0.00,0.00,0.00,0.00,0.00,1251926.00
EPICBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUEGA EN LINEA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JUGABET,3024528.00,0.00,0.00,11434933.00,11974138.00,5341131.00,5568539.00,5529554.00,6575692.00,5534222.00,5485300.00,4940001.00,65408038.00
LATAMWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROJABET,53898.00,82836.00,88386.00,79406.00,92107.00,86806.00,85940.00,84474.00,129612.00,2578985.00,3043030.00,2810360.00,9215840.00
TONYBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
