brand_name,2026-01-04,2026-01-11,2026-01-18,2026-01-25,2026-02-01,2026-02-08,2026-02-15,2026-02-22,2026-03-01,2026-03-08,2026-03-15,2026-03-22,2026-03-29,2026-04-05,2026-04-12,total
APUESTAS ROYAL,52840.00,46390.00,2984.00,75366.00,60868.00,142230.00,287100.00,600319.00,666241.00,809014.00,885121.00,611937.00,602278.00,428624.00,828723.00,6100035.00
BETANO,712192.00,1377580.00,915996.00,2587498.00,2309218.00,3208354.00,2410322.00,2745312.00,2684841.00,2248266.00,2557437.00,2248707.00,2086305.00,1551976.00,2138931.00,31782935.00
BETSSON,254440.00,603912.00,103282.00,595597.00,372291.00,153271.00,35571.00,148538.00,141445.00,362672.00,691251.00,282383.00,152993.00,58820.00,465462.00,4421928.00
COOLBET,16038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16038.00
EPICBET,0.00,0.00,0.00,71550.00,0.00,0.00,0.00,1247588.00,1427986.00,1148574.00,841873.00,875094.00,909611.00,873288.00,860904.00,8256468.00
JUEGA EN LINEA,41778.00,39798.00,62469.00,60192.00,47421.00,79893.00,53559.00,62271.00,77616.00,68508.00,63261.00,29997.00,0.00,0.00,0.00,686763.00
JUGABET,0.00,0.00,1387008.00,1021934.00,750179.00,1015723.00,756092.00,576018.00,592429.00,463026.00,489760.00,296123.00,240834.00,645482.00,522714.00,8757322.00
LATAMWIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ROJABET,0.00,0.00,991152.00,1909998.00,1341061.00,1409350.00,1343444.00,1298600.00,1298154.00,1190606.00,1150605.00,1017156.00,900792.00,1227643.00,1210644.00,16289205.00
TONYBET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
